date_pre,date_post,region,erosion_km2,accretion_km2
2017-01-02,2017-01-08,hoernum_odde,0.1232,0.0044
2017-01-08,2017-01-14,hoernum_odde,0.0974,0.0777
2017-01-14,2017-02-01,hoernum_odde,0.0787,0.0477
2017-02-01,2017-03-15,hoernum_odde,0.1511,0.038
2017-03-15,2017-04-14,hoernum_odde,0.0379,0.1904
2017-04-14,2017-04-20,hoernum_odde,0.1648,0.0
2017-04-20,2017-05-02,hoernum_odde,0.0129,0.0342
2017-05-02,2017-05-20,hoernum_odde,0.0009,0.2019
2017-05-20,2017-06-13,hoernum_odde,0.1846,0.0565
2017-06-13,2017-06-19,hoernum_odde,0.0565,0.1544
2017-06-19,2017-07-13,hoernum_odde,0.1338,0.0361
2017-07-13,2017-08-18,hoernum_odde,0.0361,0.7376
2017-08-18,2017-10-23,hoernum_odde,0.5898,0.0037
2017-10-23,2017-11-22,hoernum_odde,0.096,0.0
2017-11-22,2017-12-22,hoernum_odde,0.0028,0.0144
2017-12-22,2018-01-09,hoernum_odde,0.1555,0.0
2018-01-09,2018-01-21,hoernum_odde,0.0009,0.2489
2018-01-21,2018-01-27,hoernum_odde,0.0897,0.0148
2018-01-27,2018-02-20,hoernum_odde,0.0056,0.0685
2018-02-20,2018-04-09,hoernum_odde,0.155,0.0
2018-04-09,2018-05-03,hoernum_odde,0.004,0.0718
2018-05-03,2018-05-09,hoernum_odde,0.0305,0.0104
2018-05-09,2018-05-21,hoernum_odde,0.0046,0.0464
2018-05-21,2018-06-02,hoernum_odde,0.0037,0.0876
2018-06-02,2018-07-02,hoernum_odde,0.0019,0.0595
2018-07-02,2018-07-08,hoernum_odde,0.1561,0.0102
2018-07-08,2018-08-01,hoernum_odde,0.0102,0.2053
2018-08-01,2018-08-07,hoernum_odde,0.0,2.9199
2018-08-07,2018-08-31,hoernum_odde,3.1755,0.0
2018-08-31,2018-09-12,hoernum_odde,0.0095,0.0468
2018-09-12,2018-11-11,hoernum_odde,0.0264,0.2577
2018-11-11,2018-11-17,hoernum_odde,0.2029,0.0028
2018-11-17,2018-11-29,hoernum_odde,0.0324,0.0159
2018-11-29,2018-12-11,hoernum_odde,0.0,3.4234
2018-12-11,2019-01-10,hoernum_odde,3.3538,0.0
2019-01-10,2019-02-09,hoernum_odde,0.0915,0.0157
2019-02-09,2019-03-17,hoernum_odde,0.0472,0.0666
2019-03-17,2019-03-29,hoernum_odde,0.1147,0.0283
2019-03-29,2019-04-10,hoernum_odde,0.0176,0.0157
2019-04-10,2019-04-28,hoernum_odde,0.0009,0.1124
2019-04-28,2019-05-22,hoernum_odde,0.1666,0.0227
