date,region,land_km2,water_km2,land_fraction
2017-01-02,hoernum_odde,1.2274,3.256,0.27377
2017-01-08,hoernum_odde,1.1086,3.3748,0.24727
2017-01-14,hoernum_odde,1.0889,3.3945,0.24288
2017-02-01,hoernum_odde,1.058,3.4254,0.23598
2017-03-15,hoernum_odde,0.9449,3.5386,0.21075
2017-04-14,hoernum_odde,1.0973,3.3861,0.24475
2017-04-20,hoernum_odde,0.9325,3.5509,0.208
2017-05-02,hoernum_odde,0.9539,3.5296,0.21275
2017-05-20,hoernum_odde,1.1548,3.3286,0.25757
2017-06-13,hoernum_odde,1.0267,3.4568,0.229
2017-06-19,hoernum_odde,1.1246,3.3588,0.25084
2017-07-13,hoernum_odde,1.0269,3.4565,0.22905
2017-08-18,hoernum_odde,1.7284,2.755,0.38552
2017-10-23,hoernum_odde,1.1424,3.3411,0.25479
2017-11-22,hoernum_odde,1.0464,3.4371,0.23339
2017-12-22,hoernum_odde,1.058,3.4254,0.23599
2018-01-09,hoernum_odde,0.9026,3.5809,0.20131
2018-01-21,hoernum_odde,1.1505,3.3329,0.25662
2018-01-27,hoernum_odde,1.0756,3.4078,0.23991
2018-02-20,hoernum_odde,1.1385,3.3449,0.25394
2018-04-09,hoernum_odde,0.9835,3.5,0.21936
2018-05-03,hoernum_odde,1.0513,3.4322,0.23448
2018-05-09,hoernum_odde,1.0312,3.4523,0.22999
2018-05-21,hoernum_odde,1.073,3.4105,0.23932
2018-06-02,hoernum_odde,1.1568,3.3266,0.25802
2018-07-02,hoernum_odde,1.2145,3.269,0.27088
2018-07-08,hoernum_odde,1.0686,3.4149,0.23834
2018-08-01,hoernum_odde,1.2637,3.2197,0.28187
2018-08-07,hoernum_odde,4.1836,0.2999,0.93312
2018-08-31,hoernum_odde,1.0081,3.4754,0.22484
2018-09-12,hoernum_odde,1.0453,3.4381,0.23315
2018-11-11,hoernum_odde,1.2766,3.2068,0.28474
2018-11-17,hoernum_odde,1.0765,3.4069,0.24011
2018-11-29,hoernum_odde,1.06,3.4234,0.23643
2018-12-11,hoernum_odde,4.4834,0.0,1.0
2019-01-10,hoernum_odde,1.1296,3.3538,0.25195
2019-02-09,hoernum_odde,1.0538,3.4296,0.23504
2019-03-17,hoernum_odde,1.0732,3.4103,0.23936
2019-03-29,hoernum_odde,0.9867,3.4967,0.22008
2019-04-10,hoernum_odde,0.9849,3.4985,0.21968
2019-04-28,hoernum_odde,1.0964,3.3871,0.24453
2019-05-22,hoernum_odde,0.9525,3.531,0.21244
2019-05-28,hoernum_odde,1.044,3.4394,0.23286
2019-06-21,hoernum_odde,1.0793,3.4041,0.24073
2019-06-27,hoernum_odde,1.1513,3.3322,0.25678
2019-07-27,hoernum_odde,1.0519,3.4316,0.23461
2019-08-26,hoernum_odde,1.1394,3.344,0.25414
2019-09-19,hoernum_odde,1.4516,3.0319,0.32377
2019-09-25,hoernum_odde,1.1262,3.3572,0.2512
2019-10-25,hoernum_odde,1.0778,3.4056,0.2404
